PERIOD,STATE_ID,STATE,MIN_C,MEAN_C,MAX_C,PRECIPITATION_MM
2016-09-01,30,Veracruz,19.5,24.7,29.9,255.9
2016-09-01,31,Yucatán,21.9,28.1,34.3,166.8
2016-09-01,32,Zacatecas,12.6,19.4,26.2,77.8
2016-10-01,0,Mexico,16.1,23.4,30.8,38.9
2016-10-01,1,Aguascalientes,9.4,17.8,26.2,8.7
2016-10-01,2,Baja California,16.3,24.1,31.9,0.6
2016-10-01,3,Baja California Sur,20.7,27.4,34.0,2.6
2016-10-01,4,Campeche,22.2,27.6,33.1,81.7
2016-10-01,5,Coahuila,15.7,22.8,29.8,10.8
2016-10-01,6,Colima,22.9,29.0,35.1,62.6
2016-10-01,7,Chiapas,20.6,26.0,31.5,128.0
2016-10-01,8,Chihuahua,11.1,20.1,29.0,10.3
2016-10-01,9,Ciudad de México,10.0,17.0,23.9,14.6
2016-10-01,10,Durango,11.1,19.4,27.8,16.7
2016-10-01,11,Guanajuato,11.7,19.4,27.1,19.4
2016-10-01,12,Guerrero,18.7,25.4,32.1,36.7
2016-10-01,13,Hidalgo,12.9,19.5,26.0,58.3
2016-10-01,14,Jalisco,15.0,22.7,30.4,34.0
2016-10-01,15,Estado de México,7.7,15.1,22.5,31.7
2016-10-01,16,Michoacán,13.3,21.1,28.9,39.2
2016-10-01,17,Morelos,15.4,22.1,28.8,49.5
2016-10-01,18,Nayarit,22.9,29.1,35.3,41.0
2016-10-01,19,Nuevo León,16.9,23.6,30.3,32.2
2016-10-01,20,Oaxaca,18.1,23.9,29.8,44.4
2016-10-01,21,Puebla,11.2,18.3,25.3,81.2
2016-10-01,22,Querétaro,13.1,19.7,26.4,38.8
2016-10-01,23,Quintana Roo,23.5,28.8,34.2,79.5
2016-10-01,24,San Luis Potosí,17.4,23.9,30.3,41.4
2016-10-01,25,Sinaloa,21.8,29.3,36.9,19.5
2016-10-01,26,Sonora,16.1,25.9,35.6,1.0
2016-10-01,27,Tabasco,22.7,27.3,31.9,193.5
2016-10-01,28,Tamaulipas,20.5,26.4,32.3,50.4
2016-10-01,29,Tlaxcala,7.1,14.9,22.7,37.3
2016-10-01,30,Veracruz,18.2,23.4,28.7,223.3
